100 10000
A 28 56
B 8 21
B 10 84
A 64 14
A 81 45
A 71 7
B 44 9
B 54 25
B 55 63
A 82 70
A 44 89
B 81 7
B 13 23
A 42 6
A 59 21
B 42 89
B 77 78
A 24 85
A 70 27
A 53 87
B 90 91
A 46 24
A 66 56
B 69 50
A 71 87
A 81 35
A 85 3
A 24 25
A 91 93
B 31 84
B 81 9
B 8 91
A 92 47
B 93 80
B 73 78
B 86 61
B 57 94
B 4 48
A 80 90
B 95 45
A 48 79
A 36 97
B 75 58
B 100 82
A 80 52
B 35 40
B 24 32
B 7 28
A 41 52
B 22 42
A 28 92
A 37 82
B 21 51
A 43 87
A 6 67
A 62 21
A 43 97
B 65 57
A 93 42
B 5 37
A 27 70
A 17 18
B 50 2
A 40 52
B 68 77
B 60 64
A 59 54
B 21 14
A 64 7
B 9 78
B 92 73
A 32 21
B 83 61
A 75 63
A 49 31
A 24 19
A 99 3
A 42 20
B 20 27
A 13 78
B 79 13
B 71 99
A 94 12
B 6 19
A 59 1
A 27 40
A 73 1
B 32 81
A 99 93
B 24 83
B 73 66
B 49 20
B 37 95
A 93 94
B 20 26
B 99 2
B 37 82
A 60 85
B 3 96
A 80 6
B 69 10
A 33 61
A 77 40
B 7 94
A 92 96
A 7 83
B 6 62
B 36 46
A 82 73
A 58 77
A 9 11
B 36 40
A 93 38
B 56 78
A 29 6
A 40 62
B 81 28
B 63 32
A 73 72
B 4 39
B 75 42
A 37 67
A 33 97
B 91 54
B 44 16
A 67 49
B 59 3
A 8 30
B 68 5
B 56 35
A 6 72
A 43 47
B 95 39
B 7 4
A 96 61
B 59 9
B 9 37
A 21 24
A 19 58
B 72 40
A 54 26
A 27 46
A 66 16
B 97 95
B 82 51
B 68 32
A 26 48
B 27 18
B 36 54
A 40 23
B 93 95
B 94 37
A 47 25
B 74 70
B 33 5
A 53 18
A 39 16
B 23 87
B 92 15
A 43 42
A 16 33
B 24 25
B 64 6
B 64 84
B 27 65
B 13 33
B 35 88
B 32 31
B 75 99
A 62 22
B 99 11
A 30 6
A 82 68
B 9 77
B 73 47
B 44 64
B 13 52
B 87 91
A 76 79
A 95 12
A 97 85
B 73 30
B 76 59
A 95 99
A 87 43
A 80 28
B 28 5
A 89 21
B 32 22
A 83 48
A 95 75
B 96 18
A 86 61
A 60 66
A 54 95
A 4 53
B 63 43
B 35 7
A 50 35
B 67 5
B 35 97
B 13 30
B 22 67
B 96 82
B 98 69
B 27 93
B 13 73
B 83 40
A 16 26
B 55 66
B 26 18
A 63 76
A 15 84
A 70 26
A 17 59
B 40 3
B 75 26
B 36 65
B 72 1
B 71 58
A 49 71
B 8 16
B 36 70
A 35 44
B 69 92
A 44 92
B 70 74
A 26 23
A 91 71
A 3 63
B 24 76
B 94 15
A 34 72
A 14 10
B 51 4
B 49 76
A 58 43
B 9 42
A 46 62
A 70 34
A 66 59
A 32 39
B 48 59
A 21 61
B 68 48
A 54 13
B 94 91
A 48 34
B 42 68
B 11 54
A 57 71
B 82 45
B 26 52
A 88 87
B 38 72
B 29 7
B 68 94
A 83 67
A 73 51
B 31 46
B 96 99
A 41 51
A 22 34
B 35 99
B 89 77
A 23 87
B 70 25
A 22 14
A 52 79
B 91 45
B 44 18
A 20 79
A 61 83
A 69 34
B 56 79
A 90 73
B 73 14
B 56 21
A 83 78
A 88 61
A 87 99
A 69 20
A 88 24
B 81 32
A 19 62
B 82 43
B 98 1
A 43 97
A 17 39
B 30 89
A 46 58
B 94 53
B 51 28
A 58 68
A 81 29
B 23 24
A 6 58
B 82 26
A 70 58
A 35 83
A 28 85
B 35 78
B 79 2
A 75 79
B 37 91
B 62 16
B 66 73
B 87 52
A 62 18
B 59 78
A 77 11
A 24 78
B 11 89
A 95 78
A 66 33
A 93 26
B 34 66
A 22 58
B 42 61
B 57 51
A 88 78
B 8 61
B 55 70
A 48 28
A 69 88
A 13 15
A 31 53
A 33 42
A 4 27
B 30 88
B 60 56
B 1 25
B 85 41
A 98 36
B 59 69
B 82 79
A 39 27
A 37 81
A 2 43
A 80 67
B 92 58
A 99 54
B 36 81
B 40 95
B 56 88
B 81 39
A 6 26
A 18 97
B 62 56
B 93 49
B 58 57
A 80 19
A 97 45
B 44 74
B 82 17
B 98 22
A 55 45
B 17 27
A 63 100
A 66 22
B 47 69
A 7 27
B 63 22
B 10 42
A 13 52
A 94 54
A 56 79
B 12 39
B 51 9
B 25 20
B 2 42
B 17 50
A 15 60
B 66 55
A 87 86
A 54 39
A 5 23
B 17 97
B 38 84
B 35 84
A 90 54
A 37 70
A 1 2
B 47 68
A 99 47
A 70 14
A 26 78
A 33 50
B 5 88
B 37 85
A 37 69
B 54 46
B 38 53
A 56 84
B 19 13
B 31 6
B 91 55
A 90 10
B 7 91
B 63 31
B 98 34
B 55 9
A 23 81
A 22 1
A 68 79
B 99 31
A 23 26
A 12 50
A 79 97
A 97 44
A 11 42
A 2 88
A 93 10
A 45 20
A 92 5
A 23 82
B 91 71
A 20 51
A 98 90
A 16 95
A 2 36
B 90 8
B 78 61
A 55 14
B 20 21
A 26 95
B 80 40
B 9 50
B 91 13
B 5 19
B 17 70
B 66 48
A 49 79
B 64 17
A 35 20
A 98 83
B 84 98
B 96 71
A 98 2
B 84 85
A 46 95
A 24 57
A 32 54
A 79 37
A 55 64
B 75 19
B 88 98
A 20 9
B 55 30
A 49 29
A 68 89
A 36 23
A 67 49
A 78 19
A 78 95
A 65 83
A 20 67
A 69 77
A 73 17
B 9 40
A 53 83
B 75 96
B 9 99
B 91 5
A 27 74
A 30 28
B 84 28
B 5 7
B 40 19
B 72 19
B 8 78
B 95 6
A 43 58
B 6 91
A 77 28
B 93 92
B 31 54
A 94 16
B 29 27
A 41 69
B 63 72
B 74 89
A 35 61
B 38 27
B 88 30
A 71 58
A 37 77
B 28 65
A 23 13
A 16 54
A 90 86
A 31 70
B 53 2
A 76 97
A 26 28
A 77 21
B 98 12
B 75 30
A 79 8
B 25 8
A 33 88
B 7 38
B 11 85
B 20 52
B 73 50
B 47 23
A 61 30
B 83 12
A 48 43
A 60 77
B 70 22
B 94 51
A 60 77
B 70 30
B 95 17
A 35 66
B 34 26
A 43 11
A 61 45
A 70 45
B 90 45
B 27 14
B 83 68
B 47 50
A 15 97
A 81 88
B 87 72
B 67 9
A 70 53
B 71 51
A 73 4
B 13 86
A 35 20
A 42 46
B 40 34
B 2 46
A 88 10
B 50 40
A 28 67
A 41 53
A 53 72
A 70 92
A 90 70
A 38 33
B 95 5
B 52 70
A 52 34
B 71 54
B 2 79
A 44 61
A 57 55
B 51 20
A 40 87
A 64 53
B 86 39
B 91 59
A 6 49
B 31 23
B 23 24
A 8 97
A 74 71
A 35 19
B 58 13
B 74 95
B 63 30
B 64 63
B 22 20
A 54 29
B 13 37
B 61 74
A 5 30
B 24 15
A 94 71
B 32 21
A 89 48
B 21 41
B 61 53
A 77 20
B 43 71
A 30 14
A 44 6
A 73 86
A 73 42
B 35 76
A 6 18
B 62 36
A 22 4
A 47 16
B 57 35
A 93 70
A 2 48
B 52 11
A 61 95
A 60 26
B 19 57
B 71 27
A 6 35
A 87 26
B 24 18
B 91 35
B 87 83
B 8 21
B 10 35
B 43 39
B 86 72
B 75 39
A 7 11
B 95 93
B 65 78
A 77 54
A 98 17
B 50 7
B 79 27
A 56 79
A 94 19
B 86 91
B 34 63
B 38 92
A 7 92
B 53 82
A 66 39
B 65 14
B 33 90
B 52 60
A 93 5
B 20 29
A 30 88
B 18 14
A 12 58
B 51 83
B 53 78
A 31 84
A 67 55
B 92 42
A 55 28
A 64 5
B 10 8
A 63 40
A 22 94
B 17 97
A 29 85
B 64 15
A 37 86
A 21 38
A 92 64
A 50 49
A 51 76
B 74 36
B 90 9
A 84 18
A 43 66
B 99 60
A 96 47
A 72 55
A 69 73
B 66 50
B 54 32
A 63 54
A 55 87
B 80 31
A 98 23
A 27 3
B 59 32
B 18 26
B 72 98
A 95 39
B 63 5
B 87 10
A 89 84
A 32 57
A 88 44
A 60 91
A 50 28
B 62 70
A 17 85
B 92 32
B 15 39
B 85 10
A 43 71
B 36 55
B 32 73
B 49 28
A 64 32
B 86 76
B 31 68
A 77 99
B 2 54
A 41 39
A 47 19
A 22 52
B 46 78
A 7 50
A 25 12
B 36 30
A 6 99
A 14 51
B 2 87
A 22 53
B 94 35
A 81 98
B 57 56
A 35 73
B 42 40
B 63 7
B 9 34
B 11 97
A 57 42
A 60 13
B 28 33
B 93 81
B 38 52
A 98 22
A 90 53
B 25 48
A 61 48
B 61 99
B 4 33
A 84 57
B 20 79
A 88 58
B 38 94
A 35 65
A 65 86
A 22 13
B 11 31
A 55 95
B 28 79
A 14 44
B 33 96
A 29 78
B 48 79
B 69 53
B 89 23
A 61 72
B 6 68
A 49 44
A 36 31
A 97 13
A 81 39
B 2 18
B 12 71
B 18 39
B 74 46
A 60 31
B 36 45
A 20 51
A 81 80
B 4 58
A 94 39
A 70 68
B 54 34
A 55 38
B 78 92
B 2 49
B 15 38
A 57 64
B 32 48
A 26 54
A 62 35
B 85 86
B 20 18
B 97 21
A 41 95
B 7 19
A 59 22
B 36 13
B 70 80
A 38 50
B 34 87
B 92 81
B 40 91
A 45 34
B 16 8
B 72 10
A 24 58
B 89 43
A 96 12
B 96 92
A 30 27
A 52 74
A 36 28
A 10 17
B 51 56
A 53 85
B 39 12
B 27 97
B 7 22
A 95 51
B 76 3
A 15 33
A 51 24
A 38 22
B 47 94
A 11 28
B 59 83
A 48 70
B 4 80
B 60 67
A 29 50
A 21 8
B 37 46
A 97 63
A 40 84
A 18 54
A 46 89
B 34 81
A 1 49
A 27 58
A 85 30
B 81 56
A 6 61
A 81 22
A 10 91
B 76 98
B 65 59
B 33 59
A 24 9
A 39 24
B 9 15
A 43 25
B 49 59
A 21 76
A 27 55
A 68 39
B 99 64
B 80 2
B 59 32
B 97 58
A 11 54
A 49 34
A 90 75
B 42 7
A 90 44
B 10 48
B 54 14
B 9 24
A 33 26
B 63 48
B 19 55
A 75 45
A 89 11
B 2 31
B 54 25
A 96 60
B 9 24
B 63 15
B 42 76
B 47 75
B 52 8
B 86 59
B 38 40
B 45 32
A 11 13
A 40 64
A 44 34
A 54 80
A 1 39
B 48 86
B 9 20
A 13 90
A 84 12
A 82 46
B 98 7
A 81 87
A 95 56
B 43 74
A 70 90
A 64 84
B 95 40
B 98 73
B 79 44
B 88 17
A 65 63
B 17 22
B 61 33
A 7 40
A 42 70
B 40 29
B 21 70
A 1 95
B 7 33
A 45 47
B 53 95
A 46 9
B 38 11
A 50 39
A 52 89
B 27 28
B 37 31
A 86 44
B 12 5
B 52 61
A 41 78
B 21 2
B 86 18
A 70 28
A 17 58
B 36 95
B 17 2
B 31 65
B 65 4
B 54 82
A 76 13
A 73 26
A 31 5
B 9 47
B 53 83
A 22 6
B 36 32
B 54 73
B 50 53
B 66 35
B 21 22
B 24 55
A 4 97
A 59 21
A 46 7
A 74 89
A 100 70
B 94 61
A 61 93
A 79 16
A 33 77
B 6 14
A 59 98
B 66 77
A 2 94
A 30 75
A 79 62
B 14 28
B 89 37
B 45 28
B 68 35
A 82 65
A 64 47
A 52 25
B 43 20
A 48 80
A 86 54
B 61 33
A 43 96
B 74 60
B 85 24
A 79 65
B 42 10
B 88 10
A 67 4
A 94 14
B 58 73
B 99 78
A 68 92
B 37 63
A 5 57
B 79 14
A 61 71
A 94 17
B 63 8
B 24 55
A 13 51
B 55 77
A 11 3
B 74 72
B 70 72
A 44 5
A 90 68
A 7 64
A 65 20
B 27 99
B 60 81
B 80 20
A 7 71
A 64 31
B 2 81
B 49 63
B 77 67
A 66 60
A 18 4
A 16 74
A 75 3
A 41 74
B 18 72
B 56 14
B 30 34
B 93 91
A 10 53
A 73 39
A 35 7
A 56 37
B 94 16
A 12 51
A 19 81
B 20 61
A 90 93
A 4 49
B 12 84
A 34 5
A 71 2
A 64 28
B 4 46
B 53 62
B 65 93
B 11 4
B 79 55
B 99 71
A 76 16
A 28 11
A 15 5
A 12 67
B 85 56
A 54 38
B 4 33
B 53 24
B 98 24
A 96 50
B 31 59
A 53 43
A 91 70
B 71 75
A 39 11
A 50 88
A 18 81
B 63 98
B 11 29
A 13 36
A 33 64
B 4 31
B 6 66
A 2 44
B 2 43
A 62 7
B 94 56
B 59 7
A 40 84
A 45 82
B 10 67
B 80 92
A 61 94
A 14 71
A 61 24
B 56 39
B 67 72
B 93 4
A 41 2
B 43 97
A 73 88
A 92 46
A 56 87
A 44 7
B 89 62
A 21 57
B 25 10
B 65 80
B 60 3
A 96 24
B 69 19
A 26 97
B 70 96
B 32 39
A 18 87
B 84 36
A 8 37
B 64 91
B 18 74
A 98 82
A 57 71
A 85 92
B 77 72
A 37 15
B 56 37
A 44 20
A 7 44
B 83 3
B 54 2
B 38 69
B 73 78
B 26 8
A 78 16
B 19 41
A 59 6
B 40 30
A 83 27
A 59 60
B 60 70
B 78 48
B 68 24
B 57 77
A 37 91
B 23 75
A 22 48
A 50 21
A 5 79
A 89 54
B 99 17
B 43 24
B 60 25
B 85 89
B 56 42
B 68 32
A 33 60
A 77 15
A 80 85
B 52 85
A 42 32
B 77 25
A 87 96
A 26 89
B 66 43
A 99 5
B 36 27
A 28 76
A 70 85
A 63 95
A 17 67
B 41 93
B 20 48
A 11 29
B 88 15
A 27 82
A 31 10
A 31 56
B 3 98
B 79 6
B 60 95
B 23 27
B 93 81
B 72 97
A 8 13
B 18 29
B 80 68
B 22 61
A 31 44
B 86 40
B 43 20
A 28 20
A 32 18
A 42 11
B 43 38
B 36 39
A 35 27
B 78 38
A 26 85
B 69 7
B 99 16
B 46 28
A 90 21
A 66 11
A 88 13
B 6 17
A 58 21
A 88 95
B 50 26
A 61 60
B 31 55
B 31 32
A 23 73
B 21 44
B 67 92
A 90 84
A 13 73
A 75 28
A 57 1
B 35 13
B 68 62
A 50 83
B 47 33
A 18 82
A 4 70
B 19 38
A 74 36
A 93 40
B 78 10
B 32 72
A 70 100
B 76 10
B 97 22
A 58 97
B 97 74
B 74 69
B 36 29
A 72 59
B 64 54
A 82 73
A 56 35
B 8 82
A 6 95
A 38 72
B 12 32
A 6 15
A 49 34
A 20 95
A 20 43
A 53 77
B 66 80
A 11 53
B 86 66
B 78 91
A 39 59
A 2 13
A 62 46
A 78 71
A 15 68
B 48 24
B 34 50
A 35 60
A 8 35
B 58 29
B 5 54
B 19 17
B 100 21
A 32 43
B 76 34
A 21 96
B 13 77
A 27 39
B 98 57
A 18 58
B 92 96
A 64 17
A 86 69
A 2 38
A 84 46
B 58 7
A 66 90
A 96 11
B 51 48
A 79 63
B 67 84
B 84 97
A 79 88
A 35 17
B 5 33
B 43 14
A 62 16
A 73 37
A 82 83
B 62 47
B 88 4
B 4 74
B 53 95
A 3 39
B 26 52
B 35 21
A 59 48
A 68 58
A 21 7
A 16 79
B 20 42
A 88 62
A 22 42
B 96 71
B 46 59
A 37 4
A 36 20
A 84 60
A 78 9
B 9 2
A 22 49
A 3 41
A 33 25
B 84 26
A 46 65
B 54 64
A 19 43
A 90 15
B 79 62
A 75 45
B 44 25
A 95 69
A 84 74
B 80 19
A 64 53
B 36 58
A 67 66
A 6 7
A 80 68
A 33 65
A 26 11
B 24 49
A 52 70
B 75 12
B 90 18
A 56 57
B 31 57
B 45 93
A 78 100
A 54 63
A 73 21
B 41 63
B 54 33
A 66 97
B 47 73
A 98 94
B 33 84
B 70 92
B 80 21
B 50 58
A 96 94
B 83 25
B 79 67
A 17 51
A 78 70
B 33 4
A 51 64
A 1 7
B 82 63
B 96 23
B 70 67
B 34 28
B 78 12
B 3 67
A 18 45
B 84 62
B 61 10
B 86 12
A 22 93
A 58 78
B 5 86
B 1 88
A 60 78
B 2 50
A 89 50
A 86 62
B 14 92
A 49 9
B 48 93
A 75 3
A 60 34
B 4 72
A 9 2
A 60 72
A 88 81
A 13 11
A 71 66
A 83 35
A 18 92
A 29 62
B 94 47
A 87 4
B 5 98
B 97 49
A 43 87
A 82 19
B 31 3
B 72 13
B 61 13
A 62 86
B 42 77
B 15 20
A 24 29
B 37 74
A 36 58
A 51 58
B 33 57
B 6 79
A 76 25
B 63 66
A 16 97
B 39 63
A 15 82
B 86 25
B 76 78
B 92 97
B 16 15
A 71 54
A 78 88
B 35 84
A 57 32
A 8 38
A 94 23
B 85 2
B 98 93
B 50 21
B 4 64
B 71 53
A 95 6
A 54 100
B 84 19
B 86 50
B 53 98
B 55 72
B 57 33
B 53 27
A 91 69
A 100 23
B 59 12
B 97 7
B 21 90
B 69 54
B 75 49
A 88 93
B 97 88
A 78 26
B 63 97
A 20 43
B 24 86
A 13 30
B 37 64
B 86 54
B 29 76
B 56 37
B 52 28
A 16 7
B 34 23
A 44 58
A 5 56
A 88 7
B 31 93
A 2 89
A 54 89
B 77 57
B 41 25
A 66 46
B 41 18
B 96 6
B 91 17
B 94 4
A 41 61
B 53 72
B 15 98
A 5 83
B 67 6
B 43 39
A 76 51
A 1 49
A 73 20
A 7 92
B 47 53
B 17 75
A 76 31
A 64 85
B 29 27
A 94 52
A 34 52
A 85 32
B 38 63
B 3 14
B 2 92
A 10 45
A 2 38
A 30 91
A 99 90
A 69 67
A 44 7
B 76 74
B 54 21
B 89 72
A 27 25
B 9 97
A 86 87
B 86 11
B 89 39
B 12 79
B 96 70
A 7 4
B 1 31
B 75 29
B 75 69
A 69 74
A 43 69
B 36 15
A 85 7
A 3 96
B 23 25
A 98 89
B 61 67
B 37 16
B 62 49
B 3 99
A 64 74
A 40 10
B 5 93
B 85 64
B 77 39
B 44 21
A 43 55
A 15 85
B 76 82
A 8 33
B 43 45
A 60 3
A 66 75
A 60 43
A 59 86
B 78 38
B 2 93
B 79 12
A 5 33
B 84 58
B 1 38
B 36 8
A 89 93
B 74 100
B 58 15
A 79 52
B 82 93
B 88 78
A 67 16
A 73 91
B 3 19
A 54 25
B 66 13
A 67 71
B 13 96
B 24 74
A 9 88
B 17 64
B 4 54
B 37 64
A 75 30
A 29 20
A 55 6
B 17 36
A 32 2
A 51 84
A 49 11
B 31 26
B 49 22
B 80 63
B 33 53
B 42 23
B 79 63
B 12 67
B 12 95
B 56 88
B 22 2
A 90 28
B 40 30
A 7 10
A 60 38
B 12 9
A 26 12
A 87 81
A 9 1
A 10 8
A 3 80
B 48 96
B 46 72
B 81 74
A 77 57
A 5 27
A 82 39
A 11 35
B 15 19
B 39 85
B 27 13
B 10 52
B 69 47
B 61 45
A 12 10
A 51 12
A 25 50
B 12 11
A 34 52
A 17 64
B 44 45
B 60 17
B 65 73
A 34 6
B 94 12
A 93 41
A 17 80
B 19 42
A 64 3
B 43 18
A 73 94
A 39 11
A 67 49
A 47 95
B 49 22
B 81 68
B 34 96
A 8 45
A 23 90
B 62 68
B 4 43
B 31 61
A 60 19
A 68 75
A 51 62
A 78 80
A 97 9
A 22 12
B 85 11
B 17 52
A 72 2
B 7 61
B 20 68
A 30 95
A 95 84
A 45 37
B 81 39
B 21 78
A 33 87
A 19 92
A 51 69
B 33 52
B 5 31
A 88 61
B 67 68
A 45 27
B 54 53
B 100 23
A 81 97
A 90 28
B 98 82
B 32 51
A 86 97
B 47 9
B 33 85
B 70 60
B 22 31
B 26 58
B 75 51
A 77 13
A 73 7
B 42 86
B 31 46
B 27 81
B 62 65
B 77 32
A 73 96
B 68 48
B 49 89
B 7 53
A 12 42
B 18 23
B 45 12
A 18 63
B 42 4
B 12 71
B 63 4
B 93 76
B 52 17
A 28 29
A 91 94
B 72 10
B 80 78
A 24 88
A 18 25
B 66 10
B 2 46
A 75 57
A 5 67
B 59 65
B 30 52
B 80 39
A 35 23
A 43 58
B 17 53
B 15 60
A 20 41
A 39 13
B 40 1
B 82 97
A 1 43
A 48 14
A 51 32
A 67 12
A 29 25
A 75 33
A 88 76
B 32 46
B 63 2
B 84 47
B 11 83
A 48 12
A 60 77
B 13 83
A 69 49
A 26 98
A 30 14
A 2 68
B 95 17
A 18 24
B 65 58
A 10 35
A 65 56
A 24 36
A 27 49
B 25 45
A 50 32
A 47 21
A 62 87
A 75 17
B 4 25
A 1 46
A 62 58
B 87 50
A 3 28
A 31 11
A 91 50
A 55 88
A 53 75
B 98 91
A 29 88
B 14 90
A 87 95
B 7 47
A 53 1
A 10 7
A 35 26
A 86 45
A 4 90
B 13 28
B 13 80
B 23 68
A 56 32
B 74 7
B 13 31
A 41 58
A 37 67
B 66 19
B 18 88
B 16 57
A 32 25
A 11 67
A 39 38
B 39 7
A 94 27
A 35 98
A 2 12
B 5 63
A 18 13
B 61 27
A 64 70
A 50 88
A 74 50
A 69 39
A 12 60
B 97 79
B 94 52
B 26 76
B 100 18
B 55 86
B 76 74
A 42 65
A 93 8
B 10 93
A 96 15
B 41 100
A 62 36
A 67 98
A 37 85
B 85 34
B 7 51
A 92 89
B 71 83
B 77 93
B 56 63
A 71 23
B 31 23
B 45 75
A 1 85
A 80 23
B 14 63
A 51 30
B 37 50
A 70 9
A 29 96
B 42 97
B 51 82
B 45 49
A 56 13
B 44 1
A 34 95
A 51 72
B 19 25
B 56 55
B 63 89
A 61 20
A 25 72
B 36 11
A 28 5
B 56 72
A 98 68
B 14 75
B 36 39
B 92 41
B 53 20
A 53 39
B 94 50
A 72 49
B 15 91
A 86 51
A 84 69
B 80 93
B 62 31
A 28 63
A 20 49
A 29 24
A 81 31
A 14 96
A 34 58
B 53 12
B 6 53
A 67 44
B 62 59
B 13 63
B 46 75
A 25 63
B 67 72
B 42 34
B 69 94
B 39 74
A 87 75
B 89 8
B 32 56
A 82 19
A 39 22
B 12 4
A 40 22
A 68 88
A 65 47
B 42 56
A 30 58
A 31 87
B 54 34
B 8 45
A 37 70
A 47 34
A 25 7
B 87 63
A 75 69
A 92 2
B 85 8
B 49 99
B 57 52
B 10 49
A 38 9
A 41 68
A 47 97
A 56 46
A 87 20
B 4 53
A 70 6
A 86 84
A 48 98
A 72 98
B 31 46
A 26 75
A 32 77
A 4 46
B 66 83
B 8 45
B 29 19
B 26 42
A 36 15
B 6 27
A 12 45
B 67 29
B 89 25
A 63 52
B 2 73
A 68 87
B 92 29
A 18 81
A 80 13
A 10 51
A 48 56
B 51 14
B 91 10
B 13 85
A 53 10
A 92 4
B 98 100
A 48 55
A 15 67
B 81 18
B 55 47
A 14 75
B 70 41
B 29 72
B 48 38
A 9 76
B 38 83
A 89 83
B 70 6
A 75 64
B 40 41
A 63 59
B 95 54
B 34 12
A 19 44
B 65 79
A 84 54
A 68 72
B 4 48
A 56 81
A 29 79
B 10 39
A 39 94
B 93 6
A 32 69
B 60 42
A 19 24
B 85 11
B 51 62
B 3 12
A 66 96
A 7 29
B 5 9
A 58 5
A 83 63
A 61 46
A 39 95
B 51 11
A 30 50
A 8 97
A 2 65
A 41 31
A 19 38
B 42 60
A 3 10
A 19 49
A 73 58
A 82 4
A 11 52
A 30 85
A 73 59
A 64 96
B 39 44
B 86 17
A 64 46
B 85 77
B 67 45
B 28 22
A 67 42
A 35 21
B 85 82
B 71 59
A 44 94
A 83 18
B 97 35
B 72 35
B 19 12
B 69 66
A 17 89
A 91 20
B 65 34
A 58 86
A 70 72
A 59 52
A 14 58
B 38 21
A 84 32
B 14 98
A 96 33
A 47 36
A 32 28
B 42 18
B 50 97
A 86 66
A 86 8
A 5 92
B 23 80
A 13 43
B 58 40
B 40 84
B 14 43
A 49 28
A 53 77
A 47 80
A 82 66
A 24 93
A 28 12
B 54 75
A 54 84
A 76 92
A 96 16
A 48 67
A 73 60
A 31 28
B 48 10
B 88 9
B 17 82
B 76 89
A 28 65
A 75 90
A 21 19
B 66 56
B 58 78
B 93 92
B 43 74
B 66 32
A 33 14
A 3 92
B 5 96
B 57 25
A 78 73
B 7 66
A 31 90
B 40 18
A 6 73
B 58 51
A 50 64
B 38 58
A 37 93
B 25 24
B 55 85
A 41 4
A 56 77
B 100 73
B 87 55
B 92 55
B 48 42
B 68 85
A 59 86
B 59 24
A 72 93
A 94 55
B 64 7
B 95 45
B 58 86
B 76 34
A 94 42
B 29 93
B 44 39
B 9 3
A 22 27
B 76 20
B 54 36
A 3 21
A 40 93
A 44 55
A 51 21
B 17 9
A 47 69
A 85 8
A 32 35
A 29 27
B 67 58
B 88 96
B 21 78
A 19 6
B 67 18
A 79 34
A 30 64
B 86 90
A 82 19
B 76 32
A 33 43
B 71 64
A 19 87
A 70 23
A 42 99
A 37 20
A 74 100
A 91 2
A 59 32
B 96 80
B 66 84
B 59 79
B 14 29
A 20 5
B 31 3
A 93 15
A 26 13
A 28 63
A 30 78
B 83 85
A 84 37
B 73 75
B 63 49
B 70 29
B 35 50
B 58 60
B 9 80
A 55 20
B 9 60
A 12 70
B 21 20
B 31 40
A 82 85
B 100 70
A 10 80
A 44 6
A 42 99
B 39 73
B 3 13
A 69 5
A 55 59
B 79 75
B 4 45
A 8 14
A 8 17
B 45 27
A 51 60
A 98 33
A 26 15
B 82 76
A 99 84
B 35 34
B 24 50
A 11 5
B 10 53
B 2 36
B 13 19
A 24 8
A 85 37
A 1 10
A 96 34
A 36 44
A 40 84
B 95 41
A 4 93
A 26 94
A 26 69
A 37 28
B 74 39
A 68 50
B 10 99
B 2 66
B 44 53
A 5 89
B 32 78
B 9 80
A 64 25
A 11 33
A 21 37
A 86 79
A 83 77
A 33 79
A 28 16
A 10 12
B 27 82
A 89 78
B 97 12
B 32 70
A 24 74
A 21 5
A 73 87
A 44 42
A 18 88
A 40 42
B 31 41
B 6 66
A 58 66
B 44 51
A 21 12
A 57 66
A 35 3
B 2 75
A 22 70
B 94 36
B 31 8
B 72 85
A 7 58
A 24 45
A 52 69
B 99 83
B 74 13
A 18 70
B 93 86
B 15 71
B 81 27
A 99 19
A 92 45
A 25 82
A 3 97
B 71 41
B 51 93
B 2 11
B 53 99
B 17 3
A 54 25
A 34 17
A 19 34
B 87 24
A 73 93
B 91 44
B 4 11
B 6 36
A 97 76
B 45 43
A 69 84
A 5 83
B 58 22
B 78 15
B 53 29
B 19 4
B 99 82
B 64 77
A 43 53
A 55 23
A 69 82
B 18 90
A 5 49
B 69 10
A 65 7
B 13 98
B 35 82
B 57 94
A 29 68
A 64 60
A 35 97
A 91 27
A 5 56
A 71 21
A 76 68
A 28 69
B 74 84
A 20 79
A 59 52
B 96 93
B 71 73
A 35 26
A 28 84
A 3 77
B 82 87
A 96 84
B 52 71
A 57 84
A 62 29
B 84 55
A 33 17
B 67 3
A 84 92
B 17 37
B 48 93
B 33 82
B 67 62
A 68 34
B 20 10
B 22 17
B 14 76
B 26 28
B 7 79
B 97 74
A 2 70
A 80 54
A 70 74
B 51 28
B 91 89
B 16 45
A 27 55
A 66 2
A 45 72
A 72 33
B 7 35
A 32 47
A 38 57
A 61 85
A 71 55
A 13 100
A 56 17
B 82 40
A 33 78
A 72 15
B 60 12
B 37 58
B 44 49
A 53 97
A 10 62
B 87 34
B 6 4
A 97 42
A 7 33
B 52 86
A 72 96
B 22 82
A 83 26
A 94 93
B 92 26
B 26 64
B 77 91
A 94 63
A 57 9
B 52 49
A 6 34
B 46 14
B 6 3
B 65 62
A 10 21
B 91 74
A 72 27
A 83 92
A 63 95
B 29 52
B 85 65
B 20 46
A 18 82
B 83 88
A 42 15
A 69 78
B 87 10
A 96 51
A 83 5
A 57 96
A 86 3
B 6 68
B 28 3
A 14 46
B 66 70
B 75 19
A 96 80
B 42 90
B 14 73
A 95 29
B 34 53
B 64 20
A 44 61
B 93 72
A 74 94
A 32 19
B 33 21
A 15 32
A 58 16
B 20 88
B 63 68
B 50 6
A 57 39
A 38 70
B 24 92
B 81 39
A 54 77
B 92 88
B 45 89
B 83 24
B 2 15
A 98 60
A 3 89
A 35 44
B 7 82
B 84 95
B 70 23
B 73 5
A 55 18
A 7 40
A 72 17
A 60 23
A 40 30
B 77 67
